"id","id_estacao","cidade","decendio","mes_decendio","risco_estiagem"
452,2450048,"Arapoti-Caratuva",2,7,"41.00"
453,2450048,"Arapoti-Caratuva",3,7,"43.00"
454,2450048,"Arapoti-Caratuva",1,8,"54.00"
455,2450048,"Arapoti-Caratuva",2,8,"58.00"
456,2450048,"Arapoti-Caratuva",3,8,"43.00"
457,2450048,"Arapoti-Caratuva",1,9,"30.00"
458,2450048,"Arapoti-Caratuva",2,9,"21.00"
459,2450048,"Arapoti-Caratuva",3,9,"21.00"
460,2450048,"Arapoti-Caratuva",1,10,"8.00"
461,2450048,"Arapoti-Caratuva",2,10,"17.00"
462,2450048,"Arapoti-Caratuva",3,10,"10.00"
463,2450048,"Arapoti-Caratuva",1,11,"8.00"
464,2450048,"Arapoti-Caratuva",2,11,"13.00"
465,2450048,"Arapoti-Caratuva",3,11,"21.00"
466,2450048,"Arapoti-Caratuva",1,12,"4.00"
467,2450048,"Arapoti-Caratuva",2,12,"2.00"
